Landslide ID,Description,Size Category,Trigger,Date of Occurrence,X Co-ordinate,Y Co-ordinate,Debris Type,Material Type,Movement Type,Aspect,Activity,Vegetation Cover,Causal Factors,Damage Description,No. of Slips,Injuries,Deaths,Damage Cost,Environmental Effects,Comments,Area (min),Area (max),Volume (min),Volume (max),Data Source
0,"Eastern flanks of the Spencer Range",1,101,1990-02-10,172.631411043675,-42.1396291884681,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
1,"Western flanks of the Saint James Range",1,101,1990-02-10,172.674182669806,-42.1539433953667,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
2,"Western flank of Mt Stanley",1,1,1990-02-10,172.673819532321,-42.2448307583617,1,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
3,"Western flank of Mt Stanley",1,1,1990-02-10,172.673940221187,-42.2449211464956,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
4,"Western spur off Mt Princess",1,101,1990-02-10,172.68802407001,-42.180183070737,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
5,"Road on west side of Maling Pass",1,1,1990-02-10,172.689127410378,-42.2131383197171,1,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
6,"Southeastern spur off Mt Princess",1,101,1990-02-10,172.691354880391,-42.1797872746883,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
7,"Rock spur above Princess Bath",2,101,1990-02-10,172.691826346904,-42.1823095257297,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
8,"Southeastern spur off Mt Princess",1,101,1990-02-10,172.696179222007,-42.1833119535409,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
9,"Northern flanks of Mt McCabe",1,101,1990-02-10,172.715127796379,-42.1902950882929,1,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
10,"Talus slopes above southwest margin of lake Tennyson",1,1,1990-02-10,172.715089659281,-42.2036199017499,2,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
11,"Eastern slopes of Mt McCabe above Lake Tennyson",1,1,1990-02-10,172.717059350279,-42.1966924270155,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
12,"Knob 1200 m north of Mt Kruse",101,1,1990-02-10,172.728698762944,-42.2473652175711,1,101,5,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
13,"Between Mt Kruse and knob ~1km to north",1,1,1990-02-10,172.730731949399,-42.253402391224,1,1,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
14,"Between Mt Kruse and Fowlers Pass",1,1,1990-02-10,172.734256381587,-42.2787550401796,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
15,"Between Mt Kruse and Fowlers Pass",1,1,1990-02-10,172.734378011358,-42.2786653024289,1,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
16,"Western flank of Mt Southey",1,1,1990-02-10,172.739452604646,-42.1981883035125,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
17,"Ridge north of Mt Kruse on estern side of Sandy Stream",1,1,1990-02-10,172.739430131457,-42.2315904801448,1,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
18,"Ridge north of Mt Kruse on estern side of Sandy Stream",1,1,1990-02-10,172.739551663232,-42.2315007359263,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
19,"Bridge over Clarence River near Lake Tennyson",1,1,1990-02-10,172.75441457047,-42.2259530150879,1,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
20,"Culvert on the Lake Tennyson Road 1.5 km south of Clarence River Bridge",1,1,1990-02-10,172.757319761056,-42.2415351547481,1,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
21,"Culvert on the Lake Tennyson Road 2km south of Clarence River Bridge",1,101,1990-02-10,172.757423196351,-42.2459469795086,1,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
22,"Stream bank 30 m east (downstream) of culvert",1,101,1990-02-10,172.75780441649,-42.241536228905,1,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
23,"Spur between Nightengale Stream and Clarence River",1,1,1990-02-10,172.764646419883,-42.2580271169453,1,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
24,"Spur between Nightengale Stream and Clarence River",1,1,1990-02-10,172.764767263778,-42.2581174096082,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
25,"Lake Tennyson Road east of Mt Seymour",1,1,1990-02-10,172.770935557616,-42.2932880556305,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
26,"Eastern side of Clarence River north of Nightingale Stream",1,1,1990-02-10,172.771401449134,-42.2345429821152,2,1,2,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
27,"Eastern side of Clarence River north of Nightingale Stream",1,1,1990-02-10,172.771522941454,-42.2344532039323,1,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
28,"On Lake Tennyson Road 1.5 km north of Fowlers Hut",1,101,1990-02-10,172.771515687279,-42.3001767029973,1,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
29,"Turakina Valley, 30km east of Wanganui",3,101,1996-08-03,175.352293205934,-39.9075513985063,1,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
30,"near Oponae, SH2 Waioeka Gorge",2,2,1996-08-12,177.312909135322,-38.2271349394415,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
31,"Ruato Bay, SH30, Lake Rotoiti",2,2,1996-09-05,176.423043949301,-38.0536265350752,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
32,"Arthur's Point, Quennstown",1,2,1996-10-16,168.674455796718,-44.9884688535613,2,2,4,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
33,"Ringaringa Rd, Halfmoon Bay, Stewart Island",1,101,1996-11-12,168.141267646261,-46.9017811782325,101,2,3,Unknown,Unknown,Unknown,Not collected,null,null,null,null,null,null,null,null,null,null,null,Landslide GIS
