landslide_fid,id,time_of_occurrence,damage_description,size_category,trigger,debris_type,material_type,movement_type,metadata_id,aspect,activity,x_coordinate,y_coordinate,severity_name,debris_type_name,material_type_name,movement_type_name,aspect_name,activity_name,data_source_name,trigger_name
"314427","0",1990-02-09Z,Rock falls from eastern flank of  Spencer Range,"1","101","2","1","2",,"0","0",172.631411043675,-42.1396291884681,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314428","1",1990-02-09Z,Rock falls from western flanks of St James Range,"1","101","2","1","2",,"0","0",172.674182669806,-42.1539433953667,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314429","2",1990-02-09Z,Incipient failures of talus slopes,"1","1","1","2","3",,"0","0",172.673819532321,-42.2448307583617,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314430","3",1990-02-09Z,Gouged furrows from rocks in soft ground,"1","1","2","1","2",,"0","0",172.673940221187,-42.2449211464956,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314431","4",1990-02-09Z,Rock fall from ridge crest,"1","101","2","1","2",,"0","0",172.68802407001,-42.180183070737,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314432","5",1990-02-09Z,Incipient failures (cracks) on talus slopes and in side-cast fill,"1","1","1","2","3",,"0","0",172.689127410378,-42.2131383197171,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314433","6",1990-02-09Z,Rock fall from ridge crest,"1","101","2","1","2",,"0","0",172.691354880391,-42.1797872746883,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314434","7",1990-02-09Z,Rock spur falling into Princess Bath,"2","101","2","1","2",,"0","0",172.691826346904,-42.1823095257297,moderate,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314435","8",1990-02-09Z,Rock fall from ridge crest,"1","101","2","1","2",,"0","0",172.696179222007,-42.1833119535409,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,unknown
"314436","9",1990-02-09Z,Many ground cracks and tussock/topsoil slides,"1","101","1","2","4",,"0","0",172.715127796379,-42.1902950882929,small,Blocky,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,unknown
"314437","10",1990-02-09Z,Collapse of vegetation mats onto talus slope,"1","1","2","2","3",,"0","0",172.715089659281,-42.2036199017499,small,Chaotic,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314438","11",1990-02-09Z,Gouged furrows from rocks in soft ground,"1","1","2","1","2",,"0","0",172.717059350279,-42.1966924270155,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314439","12",1990-02-09Z,Ridge rents forming a graben,"101","1","1","101","5",,"0","0",172.728698762944,-42.2473652175711,unknown,Blocky,unknown,Subsidence,Unknown,Unknown,Landslide catalogue,Earthquake
"314440","13",1990-02-09Z,Incipient 10 m crack above rockfall site,"1","1","1","1","4",,"0","0",172.730731949399,-42.253402391224,small,Blocky,Rock,Translational slide,Unknown,Unknown,Landslide catalogue,Earthquake
"314441","14",1990-02-09Z,Gouged furrows from rocks in soft ground,"1","1","2","1","2",,"0","0",172.734256381587,-42.2787550401796,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314442","15",1990-02-09Z,Incipient failures of talus slopes,"1","1","1","2","3",,"0","0",172.734378011358,-42.2786653024289,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314443","16",1990-02-09Z,"Extensive areas of freshly exposed rock faces, and rock surfaces on talus slopes, some precarious tors had not failed","1","1","2","1","2",,"0","0",172.739452604646,-42.1981883035125,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314444","17",1990-02-09Z,Incipient failures of talus slopes,"1","1","1","2","3",,"0","0",172.739430131457,-42.2315904801448,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314445","18",1990-02-09Z,Gouged furrows from rocks in soft ground,"1","1","2","1","2",,"0","0",172.739551663232,-42.2315007359263,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314446","19",1990-02-09Z,Subsidence of road fill at either end of bridge over Clarence River (100-150mm),"1","1","1","2","3",,"0","0",172.75441457047,-42.2259530150879,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314447","20",1990-02-09Z,Fill failure over culvert on road,"1","1","1","2","3",,"0","0",172.757319761056,-42.2415351547481,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314448","21",1990-02-09Z,Tension crack in river gravels,"1","101","1","2","3",,"0","0",172.757423196351,-42.2459469795086,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,unknown
"314449","22",1990-02-09Z,Stream bank slumping,"1","101","1","2","3",,"0","0",172.75780441649,-42.241536228905,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,unknown
"314450","23",1990-02-09Z,Subsidence in road fill and slumping of turf,"1","1","1","2","3",,"0","0",172.764646419883,-42.2580271169453,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314451","24",1990-02-09Z,Boulders displaced from resting positions,"1","1","2","1","2",,"0","0",172.764767263778,-42.2581174096082,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314452","25",1990-02-09Z,Fallen rocks on road,"1","1","2","1","2",,"0","0",172.770935557616,-42.2932880556305,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314453","26",1990-02-09Z,Gouged furrows from rocks in soft ground,"1","1","2","1","2",,"0","0",172.771401449134,-42.2345429821152,small,Chaotic,Rock,Fall,Unknown,Unknown,Landslide catalogue,Earthquake
"314454","27",1990-02-09Z,Incipient failures of talus slopes,"1","1","1","2","3",,"0","0",172.771522941454,-42.2344532039323,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,Earthquake
"314455","28",1990-02-09Z,Side-cast fill slumping on colluvium,"1","101","1","2","3",,"0","0",172.771515687279,-42.3001767029973,small,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,unknown
"314456","29",1996-08-02Z,"1 ha of orchard lost; Turakina Valley Rd closed for 2 weeks","3","101","1","2","3",,"0","0",175.352293205934,-39.9075513985063,large,Blocky,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,unknown
"314457","30",1996-08-11Z,closure of SH2 for a week,"2","2","2","2","4",,"0","0",177.312909135322,-38.2271349394415,moderate,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314458","31",1996-09-04Z,SH30 closed for a week,"2","2","2","2","4",,"0","0",176.423043949301,-38.0536265350752,moderate,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314459","32",1996-10-15Z,garage blocked,"1","2","2","2","4",,"0","0",168.674455796718,-44.9884688535613,small,Chaotic,Soil,Translational slide,Unknown,Unknown,Landslide catalogue,Rainfall
"314460","33",1996-11-11Z,"Cracks closed Ringaringa Rd; vehicle access to 8 homes lost","1","101","101","2","3",,"0","0",168.141267646261,-46.9017811782325,small,Unknown,Soil,Rotational slide (slump),Unknown,Unknown,Landslide catalogue,unknown
"314461","34",, ,"2","101","2","2","6",,"0","0",172.956397822561,-43.7481357617592,moderate,Chaotic,Soil,Creep,Unknown,Unknown,Landslide catalogue,unknown
"314462","35",,"damage to roads including slips, slumps and cracks","1","2","101","101","102",,"0","0",174.318521270032,-35.7030364233956,small,Unknown,unknown,not collected,Unknown,Unknown,Landslide catalogue,Rainfall
"314463","36",,Underslips and river erosion at 10 sites along SH2,"1","2","101","101","102",,"0","0",175.753769458251,-37.4156510950726,small,Unknown,unknown,not collected,Unknown,Unknown,Landslide catalogue,Rainfall
